epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,231.252,1.10342,0.89363,1.17289,0.78948,0.67046,0.75964,0.47742,1.35784,1.11343,1.37553,0.0011882,0.0011882,0.0011882
43,237.033,1.07583,0.81266,1.16346,0.83586,0.68485,0.77712,0.4867,1.34842,1.08487,1.36632,0.0011684,0.0011684,0.0011684
44,242.696,1.07157,0.78776,1.1478,0.87781,0.6,0.7604,0.46357,1.3742,1.14604,1.37662,0.0011486,0.0011486,0.0011486
45,248.293,1.12263,0.89041,1.19047,0.80309,0.69091,0.76761,0.47161,1.36581,1.1069,1.3794,0.0011288,0.0011288,0.0011288
46,253.851,1.07849,0.8298,1.14591,0.80567,0.65331,0.75611,0.47146,1.38413,1.13207,1.41987,0.001109,0.001109,0.001109
47,259.333,1.06998,0.79433,1.16224,0.73482,0.66337,0.72921,0.44135,1.41421,1.20309,1.42181,0.0010892,0.0010892,0.0010892
48,264.566,1.08865,0.87407,1.19385,0.7624,0.69036,0.75795,0.47504,1.38493,1.11049,1.40274,0.0010694,0.0010694,0.0010694
49,269.872,1.05937,0.79884,1.14363,0.78366,0.68182,0.76976,0.47067,1.36884,1.05404,1.40854,0.0010496,0.0010496,0.0010496
50,275.185,1.03976,0.81242,1.13411,0.78656,0.67003,0.7533,0.47274,1.3401,1.0542,1.35102,0.0010298,0.0010298,0.0010298
51,280.537,1.05065,0.84015,1.13219,0.80149,0.65758,0.75742,0.46206,1.39162,1.0954,1.39892,0.00101,0.00101,0.00101
52,285.767,1.05126,0.78788,1.13809,0.80965,0.66061,0.76412,0.46935,1.38229,1.08764,1.364,0.0009902,0.0009902,0.0009902
53,291.24,1.0169,0.7527,1.11455,0.78206,0.67879,0.7704,0.47888,1.34295,1.08646,1.37894,0.0009704,0.0009704,0.0009704
